date,week,day,snf,playoffs,rest,o:rest,division,o:division,conference,o:conference,team,P1,P2,P3,P4,o:team,o:P1,o:P2,o:P3,o:P4,line,total,1h diff,2h diff,1h total,2h total,div,con,d_rest
20151019,6,Monday,0,0,7,7,NFC East,NFC East,NFC,NFC,Eagles,7,10,7,3,Giants,7,0,0,0,-4,50.5,-10,-10,24,10,1,1,0
20151022,7,Thursday,0,0,3,3,NFC West,NFC West,NFC,NFC,Fortyniners,0,0,3,0,Seahawks,7,10,0,3,6.5,42,17,0,17,6,1,1,0
20151025,7,Sunday,0,0,6,13,AFC West,AFC West,AFC,AFC,Chargers,3,3,0,23,Raiders,10,20,7,0,-3.5,47.5,24,-16,36,30,1,1,-7
20151025,7,Sunday,0,0,6,6,AFC West,AFC North,AFC,AFC,Chiefs,3,6,7,7,Steelers,3,0,7,3,-3.5,42.5,-6,-4,12,24,0,1,0
20151025,7,Sunday,0,0,6,9,AFC South,NFC South,AFC,NFC,Colts,0,0,14,7,Saints,7,13,7,0,-5,52.5,20,-14,20,28,0,0,-3
20151025,7,Sunday,0,0,6,6,AFC East,AFC South,AFC,AFC,Dolphins,21,20,0,3,Texans,0,0,13,13,-4.5,45.5,-41,23,41,29,0,1,0
20151025,7,Sunday,0,0,5,13,NFC East,NFC East,NFC,NFC,Giants,0,10,10,7,Cowboys,3,10,0,7,-4,45,3,-10,23,24,1,1,-8
20151025,7,Sunday,0,0,6,6,NFC North,NFC North,NFC,NFC,Lions,14,3,0,2,Vikings,3,12,10,3,0,45,-2,11,32,15,1,1,0
20151025,7,Sunday,1,0,6,5,NFC South,NFC East,NFC,NFC,Panthers,7,7,7,6,Eagles,0,6,10,0,-3,45,-8,-3,20,23,0,1,1
20151025,7,Sunday,0,0,6,6,AFC East,AFC East,AFC,AFC,Patriots,3,10,3,14,Jets,3,7,7,6,-7.5,48.5,-3,-4,23,30,1,1,0
20151025,7,Sunday,0,0,13,6,NFC West,AFC North,NFC,AFC,Rams,10,0,7,7,Browns,0,3,3,0,-6,42,-7,-11,13,17,0,0,7
20151025,7,Sunday,0,0,6,13,NFC East,NFC South,NFC,NFC,Redskins,0,7,14,10,Buccaneers,10,14,0,6,-3,43.5,17,-18,31,30,0,1,-7
20151025,7,Sunday,0,0,6,9,AFC South,NFC South,AFC,NFC,Titans,0,7,0,0,Falcons,0,3,7,0,5,46,-4,7,10,7,0,0,-3
20151026,7,Monday,0,0,7,7,NFC West,AFC North,NFC,AFC,Cardinals,7,7,6,6,Ravens,3,7,0,8,-9,49,-4,-4,24,20,0,0,0
20151029,8,Thursday,0,0,3,3,AFC East,AFC East,AFC,AFC,Patriots,7,12,3,14,Dolphins,0,0,7,0,-8,50.5,-19,-10,19,24,1,1,0
